,date,tic,close,high,low,open,volume,day,macd,boll_ub,boll_lb,rsi_30,cci_30,dx_30,close_30_sma,close_60_sma,vix,turbulence
5,2020-01-09,vnq,91.58,91.87,91.355,91.61,4215616.0,3.0,-0.06897817176970023,92.89941103821842,89.9385889617816,48.47013616846005,-22.88180875361861,16.103816801336862,91.85533333333333,92.48,12.539999961853027,7.087543685208226
5,2020-01-09,vo,179.69,179.78,179.08,179.5,438211.0,3.0,1.2820536145709127,180.1413374804887,175.07166251951134,63.37574214161393,120.92933654249521,34.77109981096775,176.469,173.63466666666667,12.539999961853027,7.087543685208226
5,2020-01-09,vwo,45.05,45.16,44.92,45.14,17924547.0,3.0,0.5352635722661176,45.46909317463363,43.40990682536636,62.29367765270068,89.94295600618526,34.666922123957214,43.74366666666667,42.95966666666667,12.539999961853027,7.087543685208226
6,2020-01-10,agg,112.98,112.99,112.82,112.9,4198053.0,4.0,0.06559436741321178,113.07067199102069,112.12032800897929,53.23615276923229,109.15210543712243,2.7026421096420283,112.641,112.60366666666667,12.5600004196167,4.493926587327368
6,2020-01-10,bil,91.48,91.48,91.47,91.47,1137145.0,4.0,-0.00579942599263461,91.52897749442293,91.39102250557708,49.44359757708932,22.89281997920531,6.561938012695062,91.468,91.49633333333333,12.5600004196167,4.493926587327368
6,2020-01-10,gld,146.91,146.99,146.17,146.22,6183992.0,4.0,2.1284172581991356,149.13871107446505,135.84928892553495,64.28295148277311,128.4584074060523,45.277788396561036,141.05533333333332,140.29883333333333,12.5600004196167,4.493926587327368
6,2020-01-10,spy,325.71,327.46,325.2,327.2899,53057389.0,4.0,3.127748925348328,326.89701897566175,316.74198102433814,65.5143227792945,119.25474307339718,39.1745164314569,318.9183333333333,312.5663333333333,12.5600004196167,4.493926587327368
6,2020-01-10,vb,165.54,166.38,165.252,166.26,625221.0,4.0,0.9318521952428398,167.15389073407482,163.77510926592515,58.764565890791104,62.67777686849987,14.631461033798738,164.444,161.49249999999998,12.5600004196167,4.493926587327368
6,2020-01-10,vnq,92.28,92.385,91.528,91.78,5838786.0,4.0,-0.022581346465017305,92.98341395922415,89.92558604077587,50.83399364602776,24.255767382363704,7.038276866152647,91.82933333333334,92.46483333333335,12.5600004196167,4.493926587327368
6,2020-01-10,vo,179.41,180.01,179.12,179.99,402404.0,4.0,1.2845541179281383,180.05926279675398,175.640737203246,62.51763762916971,113.26973830988688,36.473614015624605,176.60866666666664,173.83066666666667,12.5600004196167,4.493926587327368
