symbol,open,high,low,close,volume
COINBASE:SOLUSD,128.13,128.25,128.1,128.22,241.39769001
COINBASE:SOLUSD,128.26,128.32,128.23,128.29,341.23273648
COINBASE:SOLUSD,128.28,128.35,128.26,128.34,146.84267316
COINBASE:SOLUSD,128.32,128.34,128.25,128.32,522.61528678
COINBASE:SOLUSD,128.35,128.55,128.35,128.5,563.54244164
COINBASE:SOLUSD,128.5,128.6,128.45,128.5,181.39631498
COINBASE:SOLUSD,128.5,128.52,128.37,128.38,153.75792288
COINBASE:SOLUSD,128.37,128.4,128.26,128.31,225.0420522
COINBASE:SOLUSD,128.26,128.36,128.24,128.36,99.86699824
COINBASE:SOLUSD,128.38,128.42,128.3,128.38,103.20225251
COINBASE:SOLUSD,128.37,128.42,128.34,128.37,294.36412634
COINBASE:SOLUSD,128.37,128.39,128.23,128.29,288.23427934
COINBASE:SOLUSD,128.29,128.37,128.14,128.2,590.9246722
COINBASE:SOLUSD,128.2,128.24,128.09,128.09,185.57504741
COINBASE:SOLUSD,128.09,128.31,128.09,128.25,368.56417633
COINBASE:SOLUSD,128.25,128.36,128.21,128.33,387.66165113
COINBASE:SOLUSD,128.33,128.38,128.27,128.28,412.94674699
COINBASE:SOLUSD,128.26,128.26,128.02,128.04,179.37259397
COINBASE:SOLUSD,128.04,128.43,128.04,128.42,371.45060253
COINBASE:SOLUSD,128.42,128.53,128.35,128.53,393.93902329
COINBASE:SOLUSD,128.53,128.69,128.51,128.67,228.90254968
COINBASE:SOLUSD,128.66,128.85,128.65,128.79,573.42952499
COINBASE:SOLUSD,128.79,128.91,128.71,128.84,1167.23786148
COINBASE:SOLUSD,128.82,129.1,128.6,128.6,2226.06929159
COINBASE:SOLUSD,128.61,128.63,128.5,128.62,176.35101065
COINBASE:SOLUSD,128.62,128.74,128.61,128.7,503.91458487
COINBASE:SOLUSD,128.7,128.89,128.7,128.88,670.69150538
COINBASE:SOLUSD,128.87,129.06,128.86,129.05,287.90271332
COINBASE:SOLUSD,129.06,129.15,128.96,129.07,536.08234558
COINBASE:SOLUSD,129.1,129.18,128.89,128.92,775.95267999
COINBASE:SOLUSD,128.92,128.94,128.74,128.79,285.12330282
COINBASE:SOLUSD,128.79,128.8,128.71,128.8,166.66638951
COINBASE:SOLUSD,128.78,128.78,128.66,128.67,110.92941631
COINBASE:SOLUSD,128.68,128.93,128.61,128.62,545.03934228
COINBASE:SOLUSD,128.6,128.62,128.52,128.57,719.12193835
COINBASE:SOLUSD,128.59,128.59,128.45,128.51,250.51878134
COINBASE:SOLUSD,128.51,128.56,128.32,128.35,536.77795953
COINBASE:SOLUSD,128.38,128.49,128.28,128.28,255.60391243
COINBASE:SOLUSD,128.28,128.33,128.19,128.19,387.10728304
COINBASE:SOLUSD,128.22,128.46,128.15,128.41,435.2052413
COINBASE:SOLUSD,128.43,128.48,128.17,128.19,2001.15117069
COINBASE:SOLUSD,128.13,128.23,128.05,128.18,359.21925325
COINBASE:SOLUSD,128.19,128.22,127.92,127.94,594.55499231
COINBASE:SOLUSD,127.93,128.02,127.85,128.01,174.73832462
COINBASE:SOLUSD,128.0,128.02,127.8,127.86,300.88448717
COINBASE:SOLUSD,127.85,127.95,127.81,127.95,182.36391619
COINBASE:SOLUSD,127.94,128.02,127.8,127.84,278.7360272
COINBASE:SOLUSD,127.84,128.06,127.83,127.99,555.57043022
COINBASE:SOLUSD,127.99,128.12,127.99,128.04,353.75687819
COINBASE:SOLUSD,128.04,128.18,127.92,128.17,822.9945533
COINBASE:SOLUSD,128.14,128.19,128.05,128.09,311.23718264
COINBASE:SOLUSD,128.09,128.14,127.98,128.03,496.01693214
COINBASE:SOLUSD,128.03,128.07,127.81,127.85,301.09260237
COINBASE:SOLUSD,127.88,128.0,127.83,127.84,616.51898743
COINBASE:SOLUSD,127.83,127.98,127.83,127.96,433.90017028
COINBASE:SOLUSD,127.96,127.98,127.81,127.91,631.60040427
COINBASE:SOLUSD,127.92,128.0,127.88,127.94,124.75486635
COINBASE:SOLUSD,127.93,128.03,127.89,128.02,458.98874983
COINBASE:SOLUSD,128.03,128.11,127.98,128.04,939.04641878
COINBASE:SOLUSD,128.04,128.04,127.82,127.85,553.32981706
COINBASE:SOLUSD,127.86,127.95,127.84,127.85,435.12173249
COINBASE:SOLUSD,127.85,127.88,127.7,127.73,836.23368176
COINBASE:SOLUSD,127.73,127.75,127.61,127.66,475.83512192
COINBASE:SOLUSD,127.66,127.73,127.54,127.54,332.51512614
COINBASE:SOLUSD,127.54,127.63,127.45,127.6,1253.89420392
COINBASE:SOLUSD,127.58,127.61,127.48,127.51,339.88337277
COINBASE:SOLUSD,127.52,127.62,127.39,127.41,670.62580537
COINBASE:SOLUSD,127.39,127.39,127.18,127.18,202.6809515
COINBASE:SOLUSD,127.2,127.27,127.11,127.24,342.5314674
COINBASE:SOLUSD,127.25,127.43,127.25,127.37,204.4708032
COINBASE:SOLUSD,127.33,127.36,127.28,127.35,149.18235463
COINBASE:SOLUSD,127.35,127.38,127.28,127.36,170.31717763
COINBASE:SOLUSD,127.36,127.56,127.35,127.51,318.50522767
COINBASE:SOLUSD,127.52,127.65,127.49,127.56,309.41492238
COINBASE:SOLUSD,127.57,127.72,127.49,127.72,142.11126155
COINBASE:SOLUSD,127.71,127.71,127.56,127.62,178.8584064
COINBASE:SOLUSD,127.62,127.76,127.6,127.64,374.67395209
COINBASE:SOLUSD,127.61,127.69,127.58,127.6,82.28079713
COINBASE:SOLUSD,127.6,127.71,127.48,127.71,193.55724654
COINBASE:SOLUSD,127.69,127.69,127.5,127.63,202.15373981
COINBASE:SOLUSD,127.63,127.8,127.63,127.77,250.59448792
COINBASE:SOLUSD,127.78,127.98,127.76,127.93,199.37118105
COINBASE:SOLUSD,127.93,128.01,127.87,127.87,249.42021612
COINBASE:SOLUSD,127.88,127.93,127.77,127.77,113.81458622
COINBASE:SOLUSD,127.76,127.77,127.71,127.75,341.36080398
COINBASE:SOLUSD,127.74,127.96,127.73,127.9,492.2337495
COINBASE:SOLUSD,127.89,127.9,127.66,127.69,143.13982453
COINBASE:SOLUSD,127.69,127.69,127.53,127.57,184.79473913
COINBASE:SOLUSD,127.59,127.62,127.55,127.6,91.70780759
COINBASE:SOLUSD,127.61,127.63,127.5,127.51,367.32630489
COINBASE:SOLUSD,127.51,127.57,127.49,127.52,65.96302386
COINBASE:SOLUSD,127.55,127.61,127.32,127.4,396.76225186
COINBASE:SOLUSD,127.43,127.44,127.25,127.27,392.87994073
COINBASE:SOLUSD,127.27,127.3,127.1,127.16,443.75526231
COINBASE:SOLUSD,127.16,127.16,127.07,127.07,111.22504062
COINBASE:SOLUSD,127.07,127.07,126.94,127.02,489.65862625
COINBASE:SOLUSD,127.03,127.05,126.94,127.0,78.00931201
COINBASE:SOLUSD,126.99,127.17,126.99,127.14,1040.93309528
COINBASE:SOLUSD,127.14,127.2,127.02,127.03,386.74031277
